"Chapter Title","Sub-Chapter Title","sutra_no","sutra_translation","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"--Contents of Chapter One--","WHAT IS THE GOAL OF HUMAN LIFE?","1.1.1","","1.1.1","","","",""
"--Contents of Chapter One--","WHAT IS THE ABSOLUTE TRUTH, THE ORIGIN OF EVERYTHING?","1.1.2","","1.1.2","","","",""
"--Contents of Chapter One--","KNOWLEDGE OF THE ABSOLUTE TRUTH IS FOUND ONLY IN SASTRA.","1.1.3","1o|16|44 namah pramana-mulaya kavaye sastra-yonaye pravrttaya nivrttaya nigamaya namo namah","1.1.3","1o|16|44 namah pramana-mulaya kavaye sastra-yonaye pravrttaya nivrttaya nigamaya namo namah","१ओ।१६।४४ नमह् प्रमन-मुलय कवये सस्त्र-योनये प्रव्र्त्तय निव्र्त्तय निगमय नमो नमह्","namah--obeisances; pramana--of authoritative evidence; mulaya--to the basis; kavaye--to the author; sastra--of the revealed scripture; yonaye--to the source; pravrttaya--vhic encourages sense gratification; nivrtāya--vhic encourages renunciation; nigamaya--to ḥim vho is the origin of both kinds of scripture; namah namah--repeated",""
"--Contents of Chapter One--","THE ABSOLUTE TRUTH IS THE ONLY SUBJECT OF SASTRA.","1.1.4","","1.1.4","","","",""
"--Contents of Chapter One--","THE ABSOLUTE TRUTH IS KNOWABLE AND CAN BE DESCRIBED IN WORDS.","1.1.5","","1.1.5","","","",""
"--Contents of Chapter One--","THE MODE OF GOODNESS) .","1.1.6","","1.1.6","","","",""
"--Contents of Chapter One--","THE ABSOLUTE TRUTH IS NIRGUNA BRAHMAN BECAUSE HIS WORSHIP GIVES","1.1.7","1o|88|5 harir hi nirgunah saksat purusah prakrteh parah ṣa sarva-drg upadrasta tam bhajan nirguno bhavet","1.1.7","1o|88|5 harir hi nirgunah saksat purusah prakrteh parah ṣa sarva-drg upadrasta tam bhajan nirguno bhavet","१ओ।८८।५ हरिर् हि निर्गुनह् सक्सत् पुरुसह् प्रक्र्तेह् परह् ष सर्व-द्र्ग् उपद्रस्त तम् भजन् निर्गुनो भवेत्","harih--the ṣupreme ḻord ḥari; hi--indīd; nirgunah--untouced by the material modes; saksat--absolutely; purusah--the Personality of ġodhead; prakrteh--to material nature; parah--transcendental; sah--ḥe; ṣarva--everything; drk--sīing; upadrasta--the vitness; tam--ḥim; bhajan--by vorśiping; nirgunah--frī from the material modes; bhavet--",""
"--Contents of Chapter One--","MODES OF MATERIAL NATURE; IN THE VEDAS THERE IS NO HIGHER WORSHIP THAN","1.1.8","","1.1.8","","","",""
"--Contents of Chapter One--","LORD VISNU IS THE COMPLETE WHOLE.","1.1.9","","1.1.9","","","",""
"--Contents of Chapter One--","THE SUPREME LORD IS DEVOID OF MATERIAL QUALITIES.","1.1.11","","1.1.11","","","",""
