"Chapter Title","Sub-Chapter Title","sutra_no","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"","","1.1.1","1.2.7-11","vasudeve bhagavati bhakti-yogah prayojitah janayaty asu vairagyam jznanam ca yad ahaitukam","वसुदेवे भगवति भक्ति-योगह् प्रयोजितह् जनयत्य् असु वैरग्यम् ज्ज़्ननम् च यद् अहैतुकम्","vasudeve--unto Krsna; bhagavati--unto the Personality of Godhead; bhakti-yogah--contact of devotional service; prayojitah--being applied; anayati--does produce; asu--very soon; vairagyam--detachment; jnanam-- knowledge; ca--and; yat--that which; ahaitukam--causeless. TRANSLATION By rendering devotional service unto the Personality of Godhead, Sri Krsna, one immediately acquires causeless knowledge and detachment from the world.","By rendering devotional service unto the Personality of Godhead, Sri Krsna, one immediately acquires causeless knowledge and detachment from the world."
"","","1.1.1","1.2.8","dharmah svanusthitah pumsam visvaksena-kathasu yah notpadayed yadi ratim srama eva hi kevalam","धर्मह् स्वनुस्थितह् पुम्सम् विस्वक्सेन-कथसु यह् नोत्पदयेद् यदि रतिम् स्रम एव हि केवलम्","dharmah--occupation; svanusthitah--executed in terms of one's own position; pumsam--of humankind; visvaksena--the Personality of Godhead (plenary portion); kathasu--in the message of; yah--what is; na--not; utpadayet--does produce; yadi--if; ratim--attraction; sramah--useless labor; eva--only; hi--certainly; kevalam--entirely. TRANSLATION The occupational activities a man performs according to his own position are only so much useless labor if they do not provoke attraction for the message of the Personality of Godhead.","The occupational activities a man performs according to his own position are only so much useless labor if they do not provoke attraction for the message of the Personality of Godhead."
"","","1.1.1","1.2.9","dharmasya hy apavargyasya nartho 'rthayopakalpate narthasya dharmaikantasya kamo labhaya hi smrtah","धर्मस्य ह्य् अपवर्ग्यस्य नर्थो 'र्थयोपकल्पते नर्थस्य धर्मैकन्तस्य कमो लभय हि स्म्र्तह्","dharmasya--occupational engagement; hi--certainly; apavargyasya-- ultimate liberation; na--not; arthah--end; arthaya--for material gain; upakalpate--is meant for; na--neither; arthasya--of material gain; dharma-eka-antasya--for one who is engaged in the ultimate occupational service; kamah--sense gratification; labhaya--attainment of; hi-- exactly; smrtah--is described by the great sages. TRANSLATION All occupational engagements are certainly meant for ultimate liberation. They should never be performed for material gain. Furthermore, according to sages, one who is engaged in the ultimate occupational service should never use material gain to cultivate sense gratification.","All occupational engagements are certainly meant for ultimate liberation. They should never be performed for material gain. Furthermore, according to sages, one who is engaged in the ultimate occupational service should never use material gain to cultivate sense gratification."
"","","1.1.1","1.2.1","kamasya nendriya-pritir labho jiveta yavata jivasya tattva jijnasa nartho yas ceha karmabhih","कमस्य नेन्द्रिय-प्रितिर् लभो जिवेत यवत जिवस्य तत्त्व जिज्नस नर्थो यस् चेह कर्मभिह्","kamasya--of desires; na--not; indriya--senses; pritih--satisfaction; labhah--gain; jiveta--self-preservation; yavata--so much so; jivasya-- of the living being; tattva--the Absolute Truth; jijnasa--inquiries; na--not; arthah--end; yah ca iha--whatsoever else; karmabhih--by occupational activities. TRANSLATION Life's desires should never be directed toward sense gratification. One should desire only a healthy life, or self- preservation, since a human being is meant for inquiry about the Absolute Truth. Nothing else should be the goal of one's works.","Life's desires should never be directed toward sense gratification. One should desire only a healthy life, or self- preservation, since a human being is meant for inquiry about the Absolute Truth. Nothing else should be the goal of one's works."
"","","1.1.1","1.2.11","vadanti tat tattva-vidas tattvam yaj jnanam advayam brahmeti paramatmeti bhagavan iti sabdyate","वदन्ति तत् तत्त्व-विदस् तत्त्वम् यज् ज्ननम् अद्वयम् ब्रह्मेति परमत्मेति भगवन् इति सब्द्यते","vadanti--they say; tat--that; tattva-vidah--the learned souls; tattvam- -the Absolute Truth; yat--which; jnanam--knowledge; advayam--nondual; brahma iti--known as Brahman; paramatma iti--known as Paramatma; bhagavan iti--known as Bhagavan; sabdyate--it so sounded. TRANSLATION Learned transcendentalists who know the Absolute Truth call this nondual substance Brahman, Paramatma or Bhagavan.","Learned transcendentalists who know the Absolute Truth call this nondual substance Brahman, Paramatma or Bhagavan."
"","","1.1.1","1.1.1","om namo bhagavate vasudevaya janmady asya yato 'nvayad itaratas carthesv abhijnah svarat tene brahma hrda ya adi-kavaye muhyanti yat surayah tejo-vari-mrdam yatha vinimayo yatra tri-sargo 'mrsa dhamna svena sada nirasta-kuhakam satyam param dhimahi","ओम् नमो भगवते वसुदेवय जन्मद्य् अस्य यतो 'न्वयद् इतरतस् चर्थेस्व् अभिज्नह् स्वरत् तेने ब्रह्म ह्र्द य अदि-कवये मुह्यन्ति यत् सुरयह् तेजो-वरि-म्र्दम् यथ विनिमयो यत्र त्रि-सर्गो 'म्र्स धम्न स्वेन सद निरस्त-कुहकम् सत्यम् परम् धिमहि","om--O my Lord; namah--offering my obeisances; bhagavate--unto the Personality of Godhead; vasudevaya--unto Vasudeva (the son of Vasudeva), or Lord Sri Krsna, the primeval Lord; janma-adi--creation, sustenance and destruction; asya--of the manifested universes; yatah-- from whom; anvayat--directly; itaratah--indirectly; ca--and; arthesu-- purposes; abhijnah--fully cognizant; sva-rat--fully independent; tene-- imparted; brahma--the Vedic knowledge; hrda--consciousness of the heart; yah--one who; adi-kavaye--unto the original created being; muhyanti--are illusioned; yat--about whom; surayah--great sages and demigods; tejah--fire; vari--water; mrdam--earth; yatha--as much as; vinimayah--action and reaction; yatra--whereupon; tri-sargah--three modes of creation, creative faculties; amrsa--almost factual; dhamna-- along with all transcendental paraphernalia; svena--self-sufficiently; sada--always; nirasta--negation by absence; kuhakam--illusion; satyam-- truth; param--absolute; dhimahi--I do meditate upon. TRANSLATION O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth.","O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth."
"","","1.1.1","1.3.39","atheha dhanya bhagavanta ittham yad vasudeve 'khila-loka-nathe kurvanti sarvatmakam atma-bhavam na yatra bhuyah parivarta ugrah","अथेह धन्य भगवन्त इत्थम् यद् वसुदेवे 'खिल-लोक-नथे कुर्वन्ति सर्वत्मकम् अत्म-भवम् न यत्र भुयह् परिवर्त उग्रह्","atha--thus; iha--in this world; dhanyah--successful; bhagavantah-- perfectly cognizant; ittham--such; yat--what; vasudeve--unto the Personality of Godhead; akhila--all-embracing; loka-nathe--unto the proprietor of all the universes; kurvanti--inspires ; sarva-atmakam--— one hundred percent; atma--spirit; bhavam--ecstasy; na--never; yatra-- wherein; bhuyah--again; parivartah--repetition; ugrah--dreadful. TRANSLATION Only by making such inquiries in this world can one be successful and perfectly cognizant, for such inquiries invoke transcendental ecstatic love unto the Personality of Godhead, who is the proprietor of all the universes, and guarant cent-per cent immunity from the dreadful repetition of birth and death. WHAT IS THE ABSOLUTE TRUTH, THE ORIGIN OF EVERYTHING?","Only by making such inquiries in this world can one be successful and perfectly cognizant, for such inquiries invoke transcendental ecstatic love unto the Personality of Godhead, who is the proprietor of all the universes, and guarant cent-per cent immunity from the dreadful repetition of birth and death. WHAT IS THE ABSOLUTE TRUTH, THE ORIGIN OF EVERYTHING?"
"","","1.1.2","1.1.1","om namo bhagavate vasudevaya janmady asya yato 'nvayad itaratas carthesv abhijnah svarat tene brahma hrda ya adi-kavaye muhyanti yat surayah tejo-vari-mrdam yatha vinimayo yatra tri-sargo 'mrsa dhamna svena sada nirasta-kuhakam satyam param dhimahi","ओम् नमो भगवते वसुदेवय जन्मद्य् अस्य यतो 'न्वयद् इतरतस् चर्थेस्व् अभिज्नह् स्वरत् तेने ब्रह्म ह्र्द य अदि-कवये मुह्यन्ति यत् सुरयह् तेजो-वरि-म्र्दम् यथ विनिमयो यत्र त्रि-सर्गो 'म्र्स धम्न स्वेन सद निरस्त-कुहकम् सत्यम् परम् धिमहि","om--O my Lord; namah--offering my obeisances; bhagavate--unto the Personality of Godhead; vasudevaya--unto Vasudeva (the son of Vasudeva), or Lord Sri Krsna, the primeval Lord; janma-adi--creation, sustenance and destruction; asya--of the manifested universes; yatah-- from whom; anvayat--directly; itaratah--indirectly; ca--and; arthesu-- purposes; abhijnah--fully cognizant; sva-rat--fully independent; tene-- imparted; brahma--the Vedic knowledge; hrda--consciousness of the heart; yah--one who; adi-kavaye--unto the original created being; muhyanti--are illusioned; yat--about whom; surayah--great sages and demigods; tejah--fire; vari--water; mrdam--earth; yatha--as much as; vinimayah--action and reaction; yatra--whereupon; tri-sargah--three modes of creation, creative faculties; amrsa--almost factual; dhamna-- along with all transcendental paraphernalia; svena--self-sufficiently; sada--always; nirasta--negation by absence; kuhakam--illusion; satyam-- truth; param--absolute; dhimahi--I do meditate upon. TRANSLATION O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth.","O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth."
"","","1.1.2","5.12.11","jznanam visuddham paramartham ekam anantaram tv abahir brahma satyam pratyak prasantam bhagavac-cabda-samjnam yad vasudevam kavayo vadanti","ज्ज़्ननम् विसुद्धम् परमर्थम् एकम् अनन्तरम् त्व् अबहिर् ब्रह्म सत्यम् प्रत्यक् प्रसन्तम् भगवच्-चब्द-सम्ज्नम् यद् वसुदेवम् कवयो वदन्ति","jnanam--the supreme knowledge; visuddham--without contamination; parama-artham--giving the ultimate goal of life; ekam--unified; anantaram--without interior, unbroken; tu--also; abahih--without exterior; brahma--the Supreme; satyam--Absolute Truth; © ratyak--inner; prasantam--the calm and peaceful Supreme Lord, worshiped by the yogis; bhagavat-sabda-samjnam--known in the higher sense as Bhagavan, or full of all opulences; yat--that; vasudevam--Lord Krsna, the son of Vasudeva; kavayah--the learned scholars; vadanti--say. TRANSLATION What, then, is the ultimate truth? The answer is that nondual knowledge is the ultimate truth. It is devoid of the contamination of material qualities. It gives us liberation. It is the one without a second, all-pervading and beyond imagination. The first realization of that knowledge is Brahman. Then Paramatma, the Supersoul, is realized by the yogis who try to see Him without grievance. This is the second stage of realization. Finally, full realization of the same supreme knowledge is realized in the Supreme Person. All learned scholars describe the Supreme Person as Vasudeva, the cause of Brahman, Paramatma and others. rot ॥ tt ॥ ॥ | । । । । tid rot ॥ tt ॥ ॥ | । । । । । te 2111187 is to be understood KNOWLEDGE OF THE ABSOLUTE TRUTH IS FOUND ONLY IN SASTRA.","What, then, is the ultimate truth? The answer is that nondual knowledge is the ultimate truth. It is devoid of the contamination of material qualities. It gives us liberation. It is the one without a second, all-pervading and beyond imagination. The first realization of that knowledge is Brahman. Then Paramatma, the Supersoul, is realized by the yogis who try to see Him without grievance. This is the second stage of realization. Finally, full realization of the same supreme knowledge is realized in the Supreme Person. All learned scholars describe the Supreme Person as Vasudeva, the cause of Brahman, Paramatma and others. rot ॥ tt ॥ ॥ | । । । । tid rot ॥ tt ॥ ॥ | । । । । । te 2111187 is to be understood KNOWLEDGE OF THE ABSOLUTE TRUTH IS FOUND ONLY IN SASTRA."
"","","1.1.4","1.1.1","om namo bhagavate vasudevaya janmady asya yato 'nvayad itaratas carthesv abhijnah svarat tene brahma hrda ya adi-kavaye muhyanti yat surayah tejo-vari-mrdam yatha vinimayo yatra tri-sargo 'mrsa dhamna svena sada nirasta-kuhakam satyam param dhimahi","ओम् नमो भगवते वसुदेवय जन्मद्य् अस्य यतो 'न्वयद् इतरतस् चर्थेस्व् अभिज्नह् स्वरत् तेने ब्रह्म ह्र्द य अदि-कवये मुह्यन्ति यत् सुरयह् तेजो-वरि-म्र्दम् यथ विनिमयो यत्र त्रि-सर्गो 'म्र्स धम्न स्वेन सद निरस्त-कुहकम् सत्यम् परम् धिमहि","om--O my Lord; namah--offering my obeisances; bhagavate--unto the Personality of Godhead; vasudevaya--unto Vasudeva (the son of Vasudeva), or Lord Sri Krsna, the primeval Lord; janma-adi--creation, sustenance and destruction; asya--of the manifested universes; yatah-- from whom; anvayat--directly; itaratah--indirectly; ca--and; arthesu-- purposes; abhijnah--fully cognizant; sva-rat--fully independent; tene-- imparted; brahma--the Vedic knowledge; hrda--consciousness of the heart; yah--one who; adi-kavaye--unto the original created being; muhyanti--are illusioned; yat--about whom; surayah--great sages and demigods; tejah--fire; vari--water; mrdam--earth; yatha--as much as; vinimayah--action and reaction; yatra--whereupon; tri-sargah--three modes of creation, creative faculties; amrsa--almost factual; dhamna-- along with all transcendental paraphernalia; svena--self-sufficiently; sada--always; nirasta--negation by absence; kuhakam--illusion; satyam-- truth; param--absolute; dhimahi--I do meditate upon. TRANSLATION O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth.","O my Lord, Sri Krsna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krsna because He is the Absolute Truth and the primeval cause of all causes of the creation, sustenance and destruction of the manifested universes. He is directly and indirectly conscious of all manifestations, and He is independent because there is no other cause beyond Him. It is He only who first imparted the Vedic knowledge unto the heart of Brahmaji, the original living being. By Him even the great sages and demigods are placed into illusion, as one is bewildered by the illusory representations of water seen in fire, or land seen on water. Only because of Him do the material universes, temporarily manifested by the reactions of the three modes of nature, appear factual, although they are unreal. I therefore meditate upon Him, Lord Sri Krsna, who is eternally existent in the transcendental abode, which is forever free from the illusory representations of the material world. I meditate upon Him, for He is the Absolute Truth."
